Title,ReleaseDate,GenreName,Director,LeadActors,SupportingActors,Language,Runtime,Budget,BoxOfficeRevenue,Rating,ReleaseType
Safehouse,28/09/2023,Action:Thriller:Crime:TV Movie,Paul Street,Alondra Delgado:Robert Seay,David Thomas Jenkins:Jessica Martin del Campo,English:Spanish,87,0,0,5.4,
Sniper: G.R.I.T. - Global Response & Intelligence Team,26/09/2023,Action:Thriller,Oliver Thompson,Chad Michael Collins:Ryan Robbins,Luna Fujimoto:Josh Brener,English,92,0,0,6.905,R
Dogman,27/09/2023,Action:Drama:Crime,Luc Besson,Caleb Landry Jones:Jojo T. Gibbs,Christopher Denham:Grace Palma,English:Spanish,115,22700000,3950070,7.666,
I Need 5 Bucks,24/09/2023,Comedy:Action,Ori Charter,Ori Charter:Saddlefrog,Saddles Family:Uncredited,English,4,10,10,0,PG-13
100 Yards,09/06/2023,Action:Drama,Xu Haofeng,Jacky Heung:Andy On,Bea Hayden Kuo:Tang Shiyi,Mandarin,108,0,0,0,
Riddle of Fire,21/03/2024,Action:Adventure:Comedy,Weston Razooli,Lio Tipton:Charles Halford,Weston Razooli:Charlie Stover,English,113,0,0,0,
Guy Manley - A Real Movie,23/09/2023,Drama:Action:Comedy,David Andersson,Baltazar Ploteau:Anton Sjölund,Milton Bjørnegren:Omar Myrza,English:Swedish,90,0,0,10,
One-Percenter,12/04/2023,Action,Yudai Yamaguchi,Tak Sakaguchi:Sho Aoyagi,Rumika Fukuda:Itsuji Itao,Japanese,85,0,0,0,
Dinosaur Prison,23/09/2023,Action:Drama:Horror:Science Fiction:Thriller,Tyler-James,Lauren Staerck:Marcus Massey,Maria Taylor:Ella Starbuck,English,73,0,0,5.2,
Sri Asih,17/11/2022,Action:Adventure:Science Fiction:Fantasy:Drama,Upi Avianto,Pevita Pearce:Reza Rahadian,Christine Hakim:Jefri Nichol,Indonesian:Javanese,134,0,0,6.353,
The Black Book,22/09/2023,Mystery:Thriller:Action,Editi Effiong,Richard Mofe-Damijo:Ade Laoye,Sam Dede:Alex Usifo Omiagbo,English,124,1000000,0,6.705,R
Dark Asset,22/09/2023,Action:Thriller:Science Fiction,Michael Winnick,Byron Mann:Robert Patrick,Helena Mattsson:Sabina Gadecki,English,90,0,0,6,R
Triggered,07/08/2023,Action:Thriller,Richard Somes,Arjo Atayde:Julia Montes,Sid Lucero:Paolo Paraiso,Tagalog,113,0,0,4,
Jackdaw,26/01/2024,Drama:Crime:Thriller:Action,Jamie Childs,Oliver Jackson-Cohen:Jenna Coleman,Thomas Turgoose:Rory McCann,English,97,0,0,6,
Project Silence,21/05/2023,Thriller:Action,Kim Tae-gon,Lee Sun-kyun:Ju Ji-hoon,Kim Hee-won:Moon Sung-keun,Korean,101,0,0,2,
Expend4bles,15/09/2023,Action:Adventure:Thriller,Scott Waugh,Jason Statham:Sylvester Stallone,50 Cent:Megan Fox,English,103,100000000,58000000,6.359,R
Baby Assassins 2 Babies,24/03/2023,Action:Drama:Crime:Comedy,Yugo Sakamoto,Akari Takaishi:Saori Izawa,Atomu Mizuishi:Tomo Nakai,Japanese,101,0,0,6.4,
The Toxic Avenger,21/09/2023,Action:Comedy:Horror,Macon Blair,Peter Dinklage:Jacob Tremblay,Kevin Bacon:Elijah Wood,English,102,0,0,7.5,R
Creation of the Gods I: Kingdom of Storms,20/07/2023,Action:Fantasy:War,Wuershan,Kris Phillips:Li Xuejian,Huang Bo:Yu Shi,Mandarin,148,85000000,372945000,7.232,
The Trip,19/09/2023,Action:Adventure:Romance,Ben Swales,Alexandros Zachariou-Rempp:Ruthie Pefley,John Muller,English,25,0,0,0,
The Creator,27/09/2023,Action:Adventure:Science Fiction,Gareth Edwards,John David Washington:Madeleine Yuna Voyles,Gemma Chan:Allison Janney,English:Japanese:Thai:Vietnamese,134,80000000,104000000,7.09,PG-13
Outlaw Johnny Black,15/09/2023,Action:Comedy:Western,Michael Jai White,Michael Jai White:Anika Noni Rose,Erica Ash:Byron Minns,English,137,0,300064,5.3,PG-13
The Retirement Plan,24/08/2023,Comedy:Action,Tim Brown,Nicolas Cage:Ashley Greene,Thalia Campbell:Ron Perlman,English,103,0,0,6.357,R
Rebel,31/08/2022,Action:Thriller:Drama,Adil El Arbi,Aboubakr Bensaïhi:Lubna Azabal,Tara Abboud:Amir El Arbi,Arabic:English:French,135,0,0,8.1,NR
Zeta: When the Dead Awaken,01/08/2019,Horror:Action:Thriller,Amanda Iswan,Cut Mini Theo:Jeff Smith,Dimas Aditya:Edo Borne,Indonesian,94,0,0,0,
Doris & Bettan - Marbella Mayhem,24/07/2023,Animation:Action:Comedy,Ellen Ekman,Ann Westin:Pia Johansson,Kodjo Akolor:Tiffany Kronlöf,Swedish,8,0,0,0,
Showdown at the Grand,03/11/2023,Action:Comedy,Orson Oblowitz,Dolph Lundgren:Terrence Howard,Amanda Righetti:John Savage,English,92,0,0,7.2,
Junk Male,13/09/2023,Drama:Music:Action,Ella Purnell,Ella Purnell:Max Bennett Kelly,Alex Mills:Bat,English,19,0,0,0,
Freestyle,13/09/2023,Crime:Action:Thriller,Maciej Bochniak,Maciej Musiałowski:Nel Kaczmarek,Michał Sikorski:Filip Lipiecki,Polish,88,0,0,6.652,
Mega Ape,13/10/2023,Science Fiction:Horror:Action,Dustin Ferguson,Tom Sizemore:Bai Ling,Mel Novak:Traci Burr,English,73,0,0,0,
Batman: Mask of the Phantasm,25/12/1993,Action:Animation:Crime:Mystery:Drama,Bruce Timm,Kevin Conroy:Dana Delany,Hart Bochner:Stacy Keach,English,76,6000000,5617391,7.474,PG
The Vigilante,08/09/2023,Thriller:Action,Lee Whittaker,Jet Jandreau:Alison Jaye Horowitz,Ana Alexander:Eric Pierce,English,100,0,0,6,
Sentinelle,27/08/2023,Action:Comedy:Crime,Hugo Benamozig,Jonathan Cohen:Raphaël Quenard,Emmanuelle Bercot:Gustave Kervern,French,98,5000000,0,5.274,
Us or Them,08/09/2023,Action:Thriller,Tom Paton,Malin Åkerman:Jack Donnelly,Wayne Gordon:Nicole Bartlett,English,86,0,0,4.25,NR
Jawan,07/09/2023,Action:Adventure:Thriller,Atlee,Shah Rukh Khan:Nayanthara,Vijay Sethupathi:Priyamani,Hindi,169,36150000,136698671,7.236,PG-13
Sirona,05/09/2023,Science Fiction:Thriller:Action,Wesley Clark,Ashlynn Hideman:Wesley Clark,Ben Johnson:Sarah Klaren,English,100,0,0,0,PG-13
Far Haven,03/09/2023,Western:Drama:Action,Gary Wheeler,Nancy Stafford:Jesse Kove,Lev Cameron:Livi Birch,English,90,0,0,0,
Cheta Singh,01/09/2023,Action:Crime:Drama:Thriller,Ashish Kumar,Prince Kanwaljit Singh:Japji Khaira,Mintu Kapa:Irwin Meet Kaur,Punjabi,135,0,0,0,NR
Escalation,01/09/2023,Action:Thriller:Crime,Jimmy Mak,Chris Mark:Nina Kiri,Cindy Sampson:George Tchortov,English,89,0,0,5,
King of Killers,01/09/2023,Action:Thriller,Kevin Grevioux,Frank Grillo:Alain Moussi,Kevin Grevioux:Marie Avgeropoulos,English,91,0,0,6.596,R
The Equalizer 3,30/08/2023,Action:Thriller:Crime,Antoine Fuqua,Denzel Washington:Dakota Fanning,Eugenio Mastrandrea:David Denman,English:Italian:Portuguese,109,70000000,190000000,7.382,R
Night Run,01/09/2023,Action,Erick Solis,Jake Hays:Tyler Cole,Rebecca Weaver:Tim Andrews,English,37,30235,0,0,
American Dreamers,30/08/2023,Comedy:Action,Luke Ring,Sam Bredeweg:Eleanor Conway,Race Bettich:Scott Portt,English,15,300,0,10,
Top Gunner: America vs. Russia,01/09/2023,Action,Christopher Ray,Eric Roberts:Simone Posey,Gary Poux:Andrew Colford,English,90,0,0,1,
Global Pursuit,25/08/2023,Comedy:Action,Michael Daniel,Kai Cenat:Ray H,Lil Yachty:Roberto Gonzalez,English,18,0,0,10,
Mastaney,25/08/2023,Action:Drama:History,Sharan Art,Tarsem Jassar:Simi Chahal,Gurpreet Ghuggi:Karamjit Anmol,Punjabi,145,2169000,16367572,10,NR
Toby,25/08/2023,Action:Mystery:Drama:Thriller,Basil Alchalakkal,Raj B Shetty:Chaithra J Achar,Samyukta Hornad:Deepak Shetty,Kannada:Malayalam,153,0,0,8.5,NR
MR-9: Do or Die,25/08/2023,Action:Drama:Thriller,Asif Akbar,Frank Grillo:Michael Jai White,Kelly Greyson:Matt Passmore,Bengali:English,124,8426568,0,5.5,
A Moment of Romance,14/06/1990,Action:Romance:Crime,Benny Chan,Andy Lau:Wu Chien-Lien,Ng Man-tat:Tommy Wong Kwong-Leung,Cantonese,92,0,0,6.942,
Beaver Wars Episode I Attack of the Gaggle,21/08/2023,Comedy:Action:History,Program counslors,Clarm:Chin,Blender:Linda,English,7,0,0,0,NR
POV,20/08/2023,Horror:Thriller:Action:Science Fiction,Brian K. Rosenthal,Chris Frank:Katie Mackey,David VonHippchen:Joshua Borcyk,English,17,20000,0,0,NR
Phoenix,19/08/2023,Action:Crime:Thriller,Daniel Zirilli,Natalie Eva Marie:Randy Couture,Neal McDonough:Oleg Prudius,English,90,4000000,0,4,
Megalodon: The Frenzy,18/08/2023,Action:Adventure:Horror:Science Fiction,Brendan Petrizzo,Eric Roberts:Caroline Williams,Jessica Chancellor:Alex Trumble,English,82,0,0,3.667,
The Engineer,18/08/2023,Action:Thriller:Mystery,Danny A. Abeckaser,Emile Hirsch:Danny A. Abeckaser,Tsahi Halevi:Angel Bonanni,English,93,0,0,6.295,R
Dead Shot,18/08/2023,Action:Thriller,Charles Guard,Colin Morgan:Aml Ameen,Mark Strong:Felicity Jones,English,87,0,0,4.595,
Brave Archer and His Mate,25/02/1982,Action:Drama,Chang Cheh,Alexander Fu Sheng:Gigi Wong,Phillip Chung-Fung Kwok:Chin Siu-ho,Mandarin,100,0,0,4.6,
Rewind 3: The Final Chapter,17/08/2023,Horror:Action,Owen Knight,Liam Cowan Makrisopoulos:Owen Knight,Nicholas Naravaez Camacho:Ivano Milevoy,English,26,1000,0,7.8,R
Oldboy,21/11/2003,Drama:Thriller:Mystery:Action,Park Chan-wook,Choi Min-sik:Yoo Ji-tae,Kang Hye-jung:Kim Byeong-ok,Korean,120,3000000,17500000,8.3,R
Kill Shot,15/08/2023,Action:Thriller,Ari Novak,Rib Hillis:Rachel Cook,Todd Gordon:Ari Novak,English,93,0,0,3.636,
Babylon 5: The Road Home,15/08/2023,Animation:Science Fiction:Action:Adventure,Matt Peters,Bruce Boxleitner:Claudia Christian,Peter Jurasik:Bill Mumy,English,80,0,0,6.873,PG-13
The Lost Princess,15/08/2023,Action:Adventure,Hicham Hajji,Eric Roberts:Robert Knepper,Gary Dourdan:Cillian O'Sullivan,English,105,0,0,0,
Millennial Hunter,13/08/2023,Animation:Comedy:Action,Sam Taggart,Chris Parnell:Patti Harrison,John Reynolds:Julio Torres,English,71,0,0,1,
Six Days to Die,11/08/2023,Action:Drama:Western,Matthew Campagna,Colm Feore:Ari Millen,Andrew Bushell:Kyra Harper,English,98,0,0,10,
3 Days in Malay,11/08/2023,War:Action,Louis Mandylor,Louis Mandylor:Donald Cerrone,Quinton Jackson:Peter Dobson,English,99,0,0,5.25,
Gran Turismo,09/08/2023,Adventure:Action:Drama,Neill Blomkamp,Archie Madekwe:David Harbour,Orlando Bloom:Djimon Hounsou,English,135,60000000,121700000,7.881,PG-13
Gadar 2,11/08/2023,Action:Drama,Anil Sharma,Sunny Deol:Utkarsh Sharma,Ameesha Patel:Simrat Kaur,Hindi,168,13000000,0,6.529,NR
Jagun Jagun,10/08/2023,Action:Drama,Tope Adebayo,Femi Adebayo:Lateef Adedimeji,Odunlade Adekola:Ibrahim Yekini Itele,Yoruba,134,0,0,6.602,R
The Shepherd,10/08/2023,Drama:Fantasy:Action,Iain Softley,Ben Radcliffe:John Travolta,Steven Mackintosh:Scarlet Grace,English,39,0,0,6.878,PG
Marry My Dead Body,10/02/2023,Comedy:Mystery:Action:Horror,Cheng Wei-Hao,Greg Hsu:Austin Lin,Gingle Wang:Tsai Chen-Nan,Mandarin,130,0,0,6.934,R
Jailer,10/08/2023,Action:Crime:Thriller:Comedy:Adventure,Nelson Dilipkumar,Rajinikanth:Vinayakan,Vasanth Ravi:Yogi Babu,Hindi:Kannada:Malayalam:Tamil:Telugu,165,0,72997485,6.836,NR
Bhola Shankar,10/08/2023,Action:Crime:Drama:Thriller,Meher Ramesh,Chiranjeevi:Keerthy Suresh,Tamannaah Bhatia:Sushanth,Telugu,158,0,0,5.667,NR
Heart of Stone,09/08/2023,Thriller:Action,Tom Harper,Gal Gadot:Jamie Dornan,Alia Bhatt:Sophie Okonedo,English,122,0,0,6.854,PG-13
Island Escape,08/08/2023,Horror:Action:Science Fiction,Bruce Wemple,Chris Cimperman:Grant Schumacher,Ariella Mastroianni:Michael L. Parker,English,86,0,0,4.1,
Kali Karate: The 2nd Beginning,08/08/2023,Action:Comedy,Sean Russel Herman,Sean Russel Herman:Shu Lan Tuan,Josh Plasse:Noah Centineo,English,80,0,0,0,
The Seven Deadly Sins: Grudge of Edinburgh Part 2,08/08/2023,Action:Adventure:Fantasy:Animation,Bob Shirohata,Ayumu Murase:Koki Uchiyama,Yuki Kaji:Sora Amamiya,Japanese,55,0,0,7.046,PG-13
The Assassin,22/02/2023,Action,Kwak Jeong-deok,Shin Hyun-joon:Lee Moon-sik,Kim Min-kyung:Hong Eun-ki,Korean,101,0,0,5.5,
Dampyr,28/10/2022,Horror:Fantasy:Action,Riccardo Chemello,Wade Briggs:Stuart Martin,Frida Gustavsson:Sebastian Croft,English,109,15000000,362113,6.355,R
Til Death Do Us Part,03/08/2023,Horror:Thriller:Action,Timothy Woodward Jr.,Cam Gigandet:Jason Patric,Natalie Burn:Orlando Jones,English,109,0,0,6,NR
The Collective,04/08/2023,Action:Thriller,Tom DeNucci,Lucas Till:Ruby Rose,Tyrese Gibson:Don Johnson,English,86,0,0,5.946,
Mob Land,04/08/2023,Action:Crime:Thriller,Nicholas Maggio,John Travolta:Shiloh Fernandez,Stephen Dorff:Ashley Benson,English,111,0,0,5.62,R
Khun Pan 3,02/03/2023,Action:Fantasy:Thriller,Kongkiat Khomsiri,Ananda Everingham:Mario Maurer,Phakin Khamwilaisak:Sarika Sathsilpsupa,Thai:Spanish,145,0,0,6.9,R
Meg 2: The Trench,02/08/2023,Action:Science Fiction:Horror,Ben Wheatley,Jason Statham:Wu Jing,Shuya Sophia Cai:Page Kennedy,English,116,129000000,384056482,6.607,PG-13
Head to Head,03/08/2023,Comedy:Thriller:Action,Malik Nejer,Abdulaziz Alshehri:Ziyad Alamri,Adel Radwan:Mohammad Alqass,Arabic,94,0,0,6.375,
Soulcatcher,02/08/2023,Action,Daniel Markowicz,Piotr Witkowski:Jacek Koman,Jacek Poniedziałek:Mariusz Bonaszewski,Polish,99,0,0,6.471,R
When Girls Ride,01/08/2023,Action:Drama:Crime:Thriller,Mark K. Buddington,Deja Blaise:Shan Moreno,Carmella Nucci:Samuel Smith,English,113,0,0,0,
I Am Rage,14/09/2023,Action:Thriller:Horror,David Ryan Keith,Hannaj Bang Bendz:Marta Svetek,Derek Nelson:Antonia Whillans,English,89,0,0,6.679,
Bad City,05/07/2022,Action:Crime,Kensuke Sonomura,Hitoshi Ozawa:Mitsu Dan,Akane Sakanoue:Katsuya,Japanese,118,0,0,6.842,
Teenage Mutant Ninja Turtles: Mutant Mayhem,31/07/2023,Animation:Comedy:Action:Science Fiction,Jeff Rowe,Micah Abbey:Shamon Brown Jr.,Nicolas Cantu:Brady Noon,English:Mandarin,100,75000000,180000000,7.267,PG
Sons of Summer,28/07/2023,Action:Mystery:Thriller,Clive Fleury,Temuera Morrison:Isabel Lucas,Joe Davidson:Christopher Pate,English,87,0,0,6.808,R
Never Say Never,06/07/2023,Drama:Action,Wang Baoqiang,Wang Baoqiang:Shi Pengyuan,Chen Yongsheng:Wang Xun,Mandarin,117,0,0,7.2,NR
Walid,28/07/2023,Action:Thriller:Drama,Areel Abu Bakar,Megat Sharizal:Putri Qaseh,Namron:Yusran Hashim,Malay,118,0,0,0,
Sympathy for the Devil,20/07/2023,Action:Thriller,Yuval Adler,Nicolas Cage:Joel Kinnaman,Alexis Zollicoffer:Cameron Lee Price,English,90,0,0,6.09,R
Shrapnel,28/07/2023,Action:Thriller:Drama,William Kaufman,Jason Patric:Cam Gigandet,Kesia Elwin:Mauricio Mendoza,English,89,0,0,6.367,R
"Miraculous: Ladybug & Cat Noir, The Movie",05/07/2023,Animation:Fantasy:Action:Romance:Family,Jeremy Zag,Annouck Hautbois:Benjamin Bollen,Fanny Bloc:Alexandre N'Guyen,French:English,107,86000000,40100000,7.726,PG
Hidden Strike,06/07/2023,Action:Adventure:Comedy:Thriller,Scott Waugh,Jackie Chan:John Cena,Ma Chunrui:Jiang Wenli,English:Spanish:Mandarin:Portuguese,103,80000000,0,6.987,PG-13
Fatal Snakes,27/07/2023,Western:Drama:Action,Ethan Butler,Clayton Butler:Connor Butler,Gus Butler:Lenore Butler,English,100,0,0,0,
The Devil Comes to Kansas City,25/07/2023,Crime:Action:Horror:Thriller:TV Movie,Michael P. Blevins,Ben Gavin:Kirk Fox,Jim O'Heir:Maz Jobrani,English,97,0,0,2.5,
Justice League: Warworld,25/07/2023,Animation:Action:Science Fiction:Adventure,Jeff Wamester,Jensen Ackles:Darren Criss,Stana Katic:Ike Amadi,English,90,0,0,7.1,R
The Flower of Battle,24/07/2023,Adventure:Comedy:Action,Gedaly Guberek,Gedaly Guberek:Beth May,Gary Lamb:Tim Storms,English,16,0,0,0,
Sand Land,18/08/2023,Animation:Action:Adventure:Fantasy:Science Fiction,Toshihisa Yokoshima,Mutsumi Tamura:Kazuhiro Yamaji,Cho:Satoshi Tsuruoka,Japanese,105,0,0,0,
Crazy Love,21/07/2023,Action,Drxp,Beanie:DJGotJokes,HeadHuncho:Marcus Hundley,English,109,0,0,1,R
Fear the Night,21/07/2023,Action:Thriller,Neil LaBute,Maggie Q:Kat Foster,Travis Hammer:Gia Crovatin,English,92,0,0,6.155,
The Island,21/07/2023,Action:Crime:Thriller,Shaun Paul Piccinino,Michael Jai White:Jackson Rathbone,Gillian White:Edoardo Costa,English,93,0,0,6.2,R
The Venture Bros.: Radiant Is the Blood of the Baboon Heart,21/07/2023,Animation:Action:Adventure:Science Fiction,Christopher McCulloch,Christopher McCulloch:Doc Hammer,James Urbaniak:Michael Sinterniklaas,English,84,0,0,7.323,R
Kingdom 2: Far and Away,15/07/2022,Action:Adventure:War,Shinsuke Sato,Kento Yamazaki:Ryo Yoshizawa,Kanna Hashimoto:Nana Seino,Japanese,134,0,38258562,7.132,
Kingdom,19/04/2019,Action:Adventure:War:History,Shinsuke Sato,Kento Yamazaki:Ryo Yoshizawa,Masami Nagasawa:Kanna Hashimoto,Japanese,133,0,0,7.253,
Punch Punch Forever!,16/07/2023,Action:Animation:Comedy:Science Fiction,speedoru,Hinako Mori:Akari Una,KL:Kasumi Seki,Japanese,8,0,0,8.333,
Backslide,14/07/2023,Drama:Thriller:Crime:Action,John Graham,John Graham:Dylan Davidson,Will Maynard,English,86,2500,0,0,PG-13
The Channel,14/07/2023,Action,William Kaufman,Clayne Crawford:Max Martini,Paul Rae:Gary Cairns,English,101,0,0,6.4,
The Flood,14/07/2023,Action:Mystery:Thriller:Horror,Brandon Slagle,Nicky Whelan:Casper Van Dien,Louis Mandylor:Devanny Pinn,English,93,0,0,6.561,R
Mission: Impossible - Dead Reckoning Part One,08/07/2023,Action:Thriller,Christopher McQuarrie,Tom Cruise:Hayley Atwell,Ving Rhames:Simon Pegg,French:English:Italian:Russian,164,291000000,567500000,7.558,PG-13
Operation Black Ops,11/07/2023,Action:Thriller,Jamaal Burden,Tito Ortiz:Cristiane Justino,Mike Ferguson:Kelsey Johnson,English,80,0,0,2,
Ghost,09/07/2023,Horror:Action,Dillon Brown,Vernon Wells:Michael Rock,Toma Smith:Annie Lain,English,85,3000,0,0,
Escaping Paradise,08/07/2023,Thriller:Action,Paul Tanter,Deji LaRay:Simon Phillips,Shayla Hale:Christies Paglinawan,English,91,0,0,5.083,
Fire with Fire,07/07/2023,Thriller:Action,Luke Bond,Anna Acha:Evan Frazier,Mara Michelle:Noam Shapiro,English,76,0,0,0,
The Out-Laws,07/07/2023,Romance:Action:Comedy,Tyler Spindel,Adam Devine:Nina Dobrev,Pierce Brosnan:Ellen Barkin,English,95,0,0,6.038,R
You Give Me Heart,05/07/2023,Action:Animation:Science Fiction,Lesego Vorster,Sechaba Ramphele:Pearl Thusi,Mukovhe Monyai:Simba Mudereri,English,12,0,0,6,
Herderboy,05/07/2023,Action:Animation:Science Fiction,Raymond Malinga,Patrick Salvador Idringi:Blair Koono,Jon Olson:Daniel Omara,English:Yoruba,13,0,0,5,
