Title,ReleaseDate,GenreName,Director,LeadActors,SupportingActors,Language,Runtime,Budget,BoxOfficeRevenue,Rating,ReleaseType
Role Play,04/01/2024,Action:Comedy:Romance,Thomas Vincent,Kaley Cuoco:David Oyelowo,Bill Nighy:Connie Nielsen,English:Spanish,101,0,0,6.055,R
Lost Phoenix,10/01/2024,Action:Thriller,James Couche,James Couche:Eliza Kelley,Wan Dral:David Norton,English,85,10000,0,4,
Kingdom III: The Flame of Destiny,28/07/2023,Action:Adventure:War,Shinsuke Sato,Kento Yamazaki:Ryo Yoshizawa,Kanna Hashimoto:Nana Seino,Japanese,129,0,0,7.635,PG-13
Lift,10/01/2024,Action:Comedy:Crime,F. Gary Gray,Kevin Hart:Gugu Mbatha-Raw,Sam Worthington:Vincent D'Onofrio,English:Italian:Spanish,107,0,0,6.57,PG-13
GREAT PRETENDER razbliuto,09/01/2024,Animation:Crime:Action,Hiro Kaburagi,Yuka Komatsu:Shunsuke Takeuchi,Yasuhiro Mamiya:Kazuyuki Okitsu,Japanese,89,0,0,6,
Justice League: Crisis on Infinite Earths Part One,09/01/2024,Animation:Science Fiction:Action,Jeff Wamester,Matt Bomer:Jensen Ackles,Darren Criss:Meg Donnelly,English,93,70000000,0,7.723,PG-13
Roadkill,05/01/2024,Action:Crime:Thriller:Horror,Warren Fast,Caitlin Carmichael:Ryan Knudson,Danielle Harris:Warren Fast,English,90,0,0,4.75,
The Painter,05/01/2024,Action:Thriller,Kimani Ray Smith,Charlie Weber:Jon Voight,Madison Bailey:Max Montesi,English,100,0,0,6.669,
Mayhem!,28/06/2023,Action:Crime:Drama,Xavier Gens,Nassim Lyes:Loryn Nounay,Olivier Gourmet:Vithaya Pansringarm,French:Thai:English,99,4920000,1500000,6.886,R
The Bricklayer,14/12/2023,Action:Thriller,Renny Harlin,Aaron Eckhart:Nina Dobrev,Clifton Collins Jr.:Tim Blake Nelson,English,110,0,0,6.033,R
Drive 2 Palermo: European Journey,04/01/2024,Action:Adventure:Comedy:Drama:Science Fiction:Western:Crime,Martin Palermo,Owen Leslie:Logan Stanczewski,Camden Semlitsch:Lucas Kuehner,English:Italian:Polish,245,0,0,10,R
The Smoke Master,18/05/2023,Action:Comedy:Fantasy,Andre Sigwalt,Daniel Rocha:Tony Lee,Luana Frez:Tristan Aronovich,Mandarin:English:Portuguese,104,120000,0,8.5,NR
Permafrost,01/01/2024,Drama:Action,Lenni Uitto,Lenni Uitto:Riley Hardy,Musa Aden:Shane Morrisun,English,80,0,0,8,NR
The DeMarco Crew,01/01/2024,Crime:Action:Thriller,Gregory Hatanaka,Nino Cimino:Chris Spinelli,Louis DeStefano:Jose Adam Alvarez,English,74,0,0,0,
Nashville Aahoy,31/12/2023,Adventure:Action,Wolfgang,Walter:Wolfgang,Marin Kitagowa:TBD,English,95,0,0,0,
BURN THE WITCH #0.8,29/12/2023,Animation:Action:Fantasy,Tatsuro Kawano,Asami Tano:Yuina Yamada,Shimba Tsuchiya:Hiroaki Hirata,Japanese,29,0,0,7,
Bad Lands,29/09/2023,Action:Crime,Masato Harada,Sakura Ando:Ryosuke Yamada,Namase Katsuhisa:Mitsuo Yoshihara,Japanese,143,0,0,7.2,
Jashin-chan Dropkick [Seikimatsu-hen],27/12/2023,Comedy:Animation:Action:Adventure,Hiroto Miyagi,Nichika Omori:Aina Suzuki,Miyu Kubota:Chiaki Omigawa,Japanese,60,0,0,5.3,PG-13
Lupin the Third: Seven Days Rhapsody,10/10/2006,Action:Animation:Comedy:TV Movie:Crime,Hajime Kamegaki,Kanichi Kurita:Kiyoshi Kobayashi,Eiko Masuyama:Makio Inoue,Japanese,90,0,0,6.479,PG-13
Migration,06/12/2023,Animation:Action:Adventure:Comedy:Family,Benjamin Renner,Kumail Nanjiani:Tresi Gazal,Awkwafina:Carol Kane,English,83,72000000,286131120,7.6,PG
Noryang: Deadly Sea,20/12/2023,History:Action:Drama:War,Kim Han-min,Kim Yoon-seok:Baek Yoon-sik,Jung Jae-young:Heo Joon-ho,Japanese:Mandarin:Korean,153,40000000,18200000,7.6,
Aquaman and the Lost Kingdom,20/12/2023,Action:Adventure:Fantasy,James Wan,Jason Momoa:Patrick Wilson,Yahya Abdul-Mateen II:Randall Park,Korean:Mandarin:English,124,205000000,433285802,6.814,PG-13
Salaar: Part 1 - Ceasefire,21/12/2023,Action:Crime:Thriller,Prashanth Neel,Prabhas:Prithviraj Sukumaran,Shruti Haasan:Easwari Rao,Telugu,175,34000000,87229100,6.5,
Kick Kids: A Heroic Tale,19/12/2023,Action:Comedy,Houstonion,Finneus Burghat:Zane Moore,Houstonion:Zeke,English,16,8,0,0,NR
Going In,30/11/2023,Action:Crime:Thriller,Evan Rissi,Ira Goldman:Evan Rissi,Victor D.S. Man:Michelle Nash,English,94,0,0,6.5,
Out for Delivery,16/12/2023,Action,Johnny Schuler,Marcos Gutierrez:Emily Pattin,Brendan Mcgint:Marty Pattin,English:Spanish,9,0,0,0,
America Is Sinking,15/12/2023,Action,Mario N. Bonassin,Chelsea Gilson:Andrew Rogers,Johnny Pacar:Paul Logan,English,83,0,0,5.5,NR
Control,14/12/2023,Action:Thriller,Gene Fallaize,Kevin Spacey:Lauren Metcalfe,Mark Hampton:Natasha Kemball,English,84,0,0,6,
Ruthless,14/12/2023,Action:Thriller,Art Camacho,Dermot Mulroney:Jeff Fahey,Melissa Diaz:Mauricio Mendoza,English,93,0,0,6.733,R
Rebel Moon - Part One: A Child of Fire,15/12/2023,Science Fiction:Drama:Action,Zack Snyder,Sofia Boutella:Michiel Huisman,Ed Skrein:Djimon Hounsou,English,134,83000000,0,6.375,PG-13
The Family Plan,14/12/2023,Action:Comedy,Simon Cellan Jones,Mark Wahlberg:Michelle Monaghan,Maggie Q:Zoe Colletti,English:French,119,0,0,7.346,PG-13
Pokémon Heroes,13/07/2002,Animation:Adventure:Action:Fantasy:Science Fiction,Kunihiko Yuyama,Rica Matsumoto:Ikue Otani,Mayumi Izuka:Satomi Korogi,Japanese,71,0,20900000,6.658,G
The Fart Master,12/12/2023,Comedy:Action,Joshua Holovach,Elijah C. Brooks:Justin Black,Austin Hurst:Macager Samples,English,6,0,0,0,
CAKE,12/12/2023,Thriller:Comedy:Action,Chris Rivera,Dev Patrick:Chris Rivera,Yianni Christou:Peter Eldredge,English,17,900,0,0,
True Lies,15/07/1994,Action:Thriller,James Cameron,Arnold Schwarzenegger:Jamie Lee Curtis,Tom Arnold:Bill Paxton,English:French:Arabic:German,140,115000000,378900000,7.1,R
Aliens,18/07/1986,Action:Thriller:Science Fiction,James Cameron,Sigourney Weaver:Michael Biehn,Lance Henriksen:Bill Paxton,English,137,18500000,183316455,7.9,R
Cool Cat vs Dirty Dog 'The Virus Wars',09/12/2023,Family:Action:Comedy,Derek Savage,Derek Savage:Art Nalls,The Harrier Jet:Mike West,English,61,1250,0,5.5,NR
"Miraculous World: Paris, Tales of Shadybug and Claw Noir",21/10/2023,Animation:Adventure:Action:Fantasy:Family,Thomas Astruc,Annouck Hautbois:Benjamin Bollen,Marie Nonnenmacher:Thierry Kazazian,French,48,0,0,7.3,PG
The Oath,08/12/2023,Action:Adventure:Drama:Fantasy,Darin Southam,Darin Southam:Nora Dale,Karina Lombard:Eugene Brave Rock,English,104,0,455000,1,PG-13
Lost Cos,08/12/2023,Action:Fantasy,Robin de Levita,Evgeniya Radilova:Zoë Vnak,Samantha Rubin:Dena Tyler,English,87,0,0,0,
Merry Little Batman,08/12/2023,Animation:Action:Family:Comedy,Mike Roth,Yonas Kibreab:Luke Wilson,James Cromwell:David Hornsby,English:French,97,0,0,6.651,PG
The Three Musketeers: D'Artagnan,05/04/2023,Adventure:Action:Drama:History,Martin Bourboulon,François Civil:Vincent Cassel,Romain Duris:Pio Marmaï,German:English:Spanish:French:Italian:Latin,121,27500000,31775688,7.045,NR
Die Hard,15/07/1988,Action:Thriller,John McTiernan,Bruce Willis:Alan Rickman,Alexander Godunov:Bonnie Bedelia,English:German:Italian,132,28000000,140767956,7.8,R
Dealing with Christmas,07/12/2023,Comedy:Adventure:Action,Arthur Sanigou,Eric Judor:Lison Daniel,Ragnar Le Breton:Alex Lutz,French,94,0,0,5.8,
