Title,ReleaseDate,GenreName,Director,LeadActors,SupportingActors,Language,Runtime,Budget,BoxOfficeRevenue,Rating,ReleaseType
Kung Fu Panda 4,02/03/2024,Comedy,Mike Mitchell,Jack Black:Awkwafina:Bryan Cranston,Viola Davis:Dustin Hoffman:James Hong,English,94,85000000,176000000,6.9,PG
Argylle,31/01/2024,Comedy,Matthew Vaughn,Bryce Dallas Howard:Sam Rockwell:Bryan Cranston,Catherine O'Hara:Henry Cavill:Ariana DeBose,English,139,200000000,94623605,6.15,PG-13
Migration,06/12/2023,Comedy,Benjamin Renner,Kumail Nanjiani:Tresi Gazal:Awkwafina,Carol Kane:Keegan-Michael Key:Danny DeVito,English,83,72000000,286131120,7.566,PG
Poor Things,07/12/2023,Comedy,Yorgos Lanthimos,Emma Stone:Mark Ruffalo:Willem Dafoe,Ramy Youssef:Christopher Abbott:Suzy Bemba,English,142,35000000,112000000,7.86,R
Wonka,06/12/2023,Comedy,Paul King,Timothée Chalamet:Calah Lane:Keegan-Michael Key,Hugh Grant:Paterson Joseph:Olivia Colman,English,117,125000000,625890096,7.208,PG
Anyone But You,21/12/2023,Comedy,Will Gluck,Sydney Sweeney:Glen Powell:Mia Artemis,Nat Buchanan:Josh Bonello:GaTa,English,103,25000000,214891370,7.1,R
Skal - Fight for Survival,24/11/2023,Comedy,Benjamin Cappelletti,Evan Marsh:Chris Sandiford:Mariah Inger,Darren Eisenhauer:Olivia Scriven:Trevor Hayes,English,77,0,0,5.509,
Irish Wish,14/03/2024,Comedy,Janeen Damian,Lindsay Lohan:Ed Speleers:Alexander Vlahos,Ayesha Curry:Elizabeth Tan:Jacinta Mulcahy,English,94,0,0,6.344,PG
The Thundermans Return,07/03/2024,Comedy,Trevor Kirschner,Kira Kosarin:Jack Griffo:Addison Riecke,Diego Velazquez:Maya Le Clark:Chris Tallman,English,70,1208,12,7.778,
Barbie,19/07/2023,Comedy,Greta Gerwig,Margot Robbie:Ryan Gosling:America Ferrera,Ariana Greenblatt:Issa Rae:Kate McKinnon,English,114,145000000,1445638421,7.102,PG-13
