Title,ReleaseDate,GenreName,Director,LeadActors,SupportingActors,Language,Runtime,Budget,BoxOfficeRevenue,Rating,ReleaseType
Evil Stepmom,28/05/2021,Drama,Michelle Ouellet,Tara Spencer-Nairn:Julia Lalonde:Hannah Vandenbygaart,Randy Thomas:Emily Clarke:Tara Bastikar,en,85,0,0,5.8,
The Shawshank Redemption,23/09/1994,Drama,Frank Darabont,Tim Robbins:Morgan Freeman:Bob Gunton,William Sadler:Clancy Brown:Gil Bellows,en:hnd:tlg:tam:urd,142,25000000,28341469,8.704,R
Dawn of the Planet of the Apes,08/07/2014,Drama,Matt Reeves,Andy Serkis:Jason Clarke:Gary Oldman,Keri Russell:Toby Kebbell:Kodi Smit-McPhee,en,130,170000000,710600000,7.311,PG-13
Society of the Snow,15/12/2023,Drama,J. A. Bayona,Enzo Vogrincic:Agustín Pardella:Matías Recalt,Esteban Bigliardi:Diego Vegezzi:Fernando Contigiani García,es,144,65500000,0,8.069,R
Titanic,18/11/1997,Drama,James Cameron,Leonardo DiCaprio:Kate Winslet:Billy Zane,Kathy Bates:Frances Fisher:Gloria Stuart,en,194,200000000,226416235,7.904,PG-13
PAW Patrol: The Mighty Movie,21/09/2023,Drama,Cal Brunker,Mckenna Grace:Christian Convery:Taraji P. Henson,Kristen Bell:Lil Rel Howery:James Marsden,en,92,30000000,202231360,7.115,PG
Creed III,01/03/2023,Drama,Michael B. Jordan,Michael B. Jordan:Tessa Thompson:Jonathan Majors,Phylicia Rashād:Mila Davis-Kent:Wood Harris,en,116,75000000,275300000,7.127,PG-13
The Holdovers,27/10/2023,Drama,Alexander Payne,Paul Giamatti:Dominic Sessa:Da'Vine Joy Randolph,Carrie Preston:Brady Hepner:Ian Dolley,en,133,13000000,42513270,7.765,R
Blade Runner 2049,04/10/2017,Drama,Denis Villeneuve,Ryan Gosling:Harrison Ford:Sylvia Hoeks,Ana de Armas:Mackenzie Davis:Jared Leto,en,164,150000000,259239658,7.555,R
Inglourious Basterds,02/08/2009,Drama,Quentin Tarantino,Brad Pitt:Mélanie Laurent:Christoph Waltz,Eli Roth:Michael Fassbender:Diane Kruger,en,153,70000000,321457747,8.218,R
Babylon,22/12/2022,Drama,Damien Chazelle,Brad Pitt:Margot Robbie:Diego Calva,Jean Smart:Flea:Jovan Adepo,en,189,78000000,63363579,7.4,R
Exploits of a Young Don Juan,04/11/1986,Drama,Gianfranco Mingozzi,Fabrice Josso:Serena Grandi:Claudine Auger,Marina Vlady:François Perrot:Aurélien Recoing,fr,100,0,1300000,5.653,
Concrete Utopia,09/08/2023,Drama,Um Tae-hwa,Lee Byung-hun:Park Seo-jun:Park Bo-young,Kim Sun-young:Park Ji-hu:Kim Do-yoon,ko,130,0,28900000,7.302,NR
One Life,09/09/2023,Drama,James Hawes,Anthony Hopkins:Johnny Flynn:Helena Bonham Carter,Jonathan Pryce:Romola Garai:Alex Sharp,en,109,0,20250568,7.7,PG
Past Lives,02/06/2023,Drama,Celine Song,Greta Lee:Teo Yoo:John Magaro,Moon Seung-ah:Yim Seung-min:Yoon Ji-hye,en,106,12000000,28126646,7.796,PG-13
Arrival,10/11/2016,Drama,Denis Villeneuve,Amy Adams:Jeremy Renner:Forest Whitaker,Michael Stuhlbarg:Tzi Ma:Mark O'Brien,en,116,47000000,203388186,7.599,PG-13
Fury,15/10/2014,Drama,David Ayer,Brad Pitt:Shia LaBeouf:Logan Lerman,Michael Peña:Jon Bernthal:Jim Parrack,en,135,68000000,211817906,7.525,R
